listing_nickname,launch_date,end_date,building,neighborhood,pdlaunch_date,pdend_date
MS915,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS915,2018-09-07T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-09-01T07:00:00Z,2019-12-01T08:00:00Z
MS916,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS916,2018-09-07T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-09-01T07:00:00Z,2019-12-01T08:00:00Z
MS917,2019-08-28T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2019-08-01T07:00:00Z,2019-12-01T08:00:00Z
R527,2016-10-03T07:00:00Z,2018-10-03T07:00:00Z,rollin,south lake union,2016-10-01T07:00:00Z,2018-10-01T07:00:00Z
R712,2017-03-07T08:00:00Z,2018-12-31T08:00:00Z,rollin,south lake union,2017-03-01T08:00:00Z,2018-12-01T08:00:00Z
R912,2016-10-12T07:00:00Z,2018-10-12T07:00:00Z,rollin,south lake union,2016-10-01T07:00:00Z,2018-10-01T07:00:00Z
T19G,2016-10-31T07:00:00Z,2017-10-31T07:00:00Z,tower,downtown,2016-10-01T07:00:00Z,2017-10-01T07:00:00Z
T8D,2016-11-02T07:00:00Z,2017-10-31T07:00:00Z,tower,downtown,2016-11-01T07:00:00Z,2017-10-01T07:00:00Z
V504,2016-11-09T08:00:00Z,2017-12-31T08:00:00Z,volta,belltown,2016-11-01T07:00:00Z,2017-12-01T08:00:00Z
V603,2017-02-19T08:00:00Z,2018-12-31T08:00:00Z,volta,belltown,2017-02-01T08:00:00Z,2018-12-01T08:00:00Z
V604,2016-11-04T07:00:00Z,2018-12-31T08:00:00Z,volta,belltown,2016-11-01T07:00:00Z,2018-12-01T08:00:00Z
V703,2016-11-04T07:00:00Z,2018-12-31T08:00:00Z,volta,belltown,2016-11-01T07:00:00Z,2018-12-01T08:00:00Z
VK1701,2017-04-10T07:00:00Z,2018-12-31T08:00:00Z,viktoria,belltown,2017-04-01T07:00:00Z,2018-12-01T08:00:00Z
VR1203,2017-01-04T08:00:00Z,2018-12-31T08:00:00Z,verve,belltown,2017-01-01T08:00:00Z,2018-12-01T08:00:00Z
VR1204,2016-11-30T08:00:00Z,2018-12-31T08:00:00Z,verve,belltown,2016-11-01T07:00:00Z,2018-12-01T08:00:00Z
VR1207,2017-02-11T08:00:00Z,2018-12-31T08:00:00Z,verve,belltown,2017-02-01T08:00:00Z,2018-12-01T08:00:00Z
